Status,Date,Original Description,Split Type,Category,Currency,Amount,User Description,Memo,Classification,Account Name,Simple Description
posted,08/10/2016,INTEREST EARNED AND PAID FROM 07/14/16 - THROUGH 08/10/16 INCLUSIVE,,Interest,$,0.07,,,Personal,HSBC Bank - HSBC PREMIER,Interest
posted,08/10/2016,CASH WITHDRAWAL ON  08/10 AT CARDTRONICS CCWF - BAKERSFIELD  CA,,ATM/Cash Withdrawals,$,-102.95,,,Personal,HSBC Bank - HSBC PREMIER,CARDTRONICS
posted,08/10/2016,PAYMENT TO CHEVRON CC-PAYMENT,,Gasoline/Fuel,$,-42.29,,,Personal,HSBC Bank - HSBC PREMIER,Chevron
posted,08/08/2016,DEPOSIT FROM PAYPAL-TRANSFER,,Transfers,$,146.85,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,08/05/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,463.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,08/04/2016,PAYMENT TO CALWATER-WATERBILL,,Utilities,$,-45.74,,,Personal,HSBC Bank - HSBC PREMIER,California Water Service
posted,08/02/2016,PAYMENT TO IN-SHAPE 179 BAK-CLUB FEES,,Healthcare/Medical,$,-56.99,,,Personal,HSBC Bank - HSBC PREMIER,Inshape
posted,08/01/2016,CHECK - 203,,Checks,$,"-2,300.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,08/01/2016,PURCHASE ON  08/01 AT 3800 ROSEDALE HIGHWAY - BAKERSFIELD  CA,,General Merchandise,$,-164.16,,,Personal,HSBC Bank - HSBC PREMIER,
posted,08/01/2016,DEPOSIT FROM CARTUS-EDI PAYMTS,,Other Income,$,411.00,,,Personal,HSBC Bank - HSBC PREMIER,
posted,08/01/2016,REBATE OF ATM SURCHARGE FOR 07/27/16 WITHDRAWAL,,Deposits,$,1.50,,,Personal,HSBC Bank - HSBC PREMIER,Deposit
posted,07/28/2016,AUTOMATIC TRANSFER TO CREDIT ACCOUNT #xxxxxx3437,,Transfers,$,-316.87,,,Personal,HSBC Bank - HSBC PREMIER,Transfer
posted,07/27/2016,CASH WITHDRAWAL ON  07/27 AT x2581 ROSEDALE HWY - BAKERSFIELD  CA,,ATM/Cash Withdrawals,$,-41.50,,,Personal,HSBC Bank - HSBC PREMIER,Cash Withdrawal
posted,07/27/2016,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,,Credit Card Payments,$,316.87,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,07/26/2016,PAYMENT TO PGANDE-WEB ONLINE,,Utilities,$,-104.26,,,Personal,HSBC Bank - HSBC PREMIER,Pacific Gas and Electric Company
posted,07/25/2016,ONLINE TRANSFER TO   CHECKING xxxxxxx1056 ON 07/24 - REFERENCE NO: IBxx1738,,Transfers,$,-0.02,,,Personal,HSBC Bank - HSBC PREMIER SAVINGS,Transfer
posted,07/25/2016,CHECK - 109,,Checks,$,-53.73,,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/25/2016,ONLINE TRANSFER FROM SAVINGS  xxxxxxx7199 ON 07/24 - REFERENCE NO: IBxx1738,,Transfers,$,0.02,,,Personal,HSBC Bank - HSBC PREMIER,Transfer
posted,07/25/2016,DEPOSIT,,Deposits,$,110.91,,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/25/2016,DEPOSIT FROM PAYPAL-TRANSFER,,Transfers,$,188.05,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,07/22/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,463.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/20/2016,PAYMENT TO SO CAL GAS-PAID SCGC,,Utilities,$,-18.33,,,Personal,HSBC Bank - HSBC PREMIER,Southern California Gas Company
posted,07/19/2016,CHECK - 108,,Checks,$,-260.00,,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/15/2016,DEPOSIT FROM CVX T&E REIMB-EDI PAYMNT,,Other Income,$,638.76,,,Personal,HSBC Bank - HSBC PREMIER,Reimbursement
posted,07/13/2016,INTEREST EARNED AND PAID FROM 06/11/16 - THROUGH 07/13/16 INCLUSIVE,,Interest,$,0.13,,,Personal,HSBC Bank - HSBC PREMIER,Interest
posted,07/13/2016,PAYMENT TO CITI AUTOPAY-PAYMENT,,Credit Card Payments,$,"-3,887.94",,,Personal,HSBC Bank - HSBC PREMIER,Citibank
posted,07/13/2016,PAYMENT TO HSBC ONLINE-TRANSFER,,Transfers,$,"-3,060.00",,,Personal,HSBC Bank - HSBC PREMIER,HSBC
posted,07/13/2016,PURCHASE - APL* ITUNES.COM/BILL     xxx-xxx-7753 CA,,Entertainment,$,-5.99,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Apple Inc
posted,07/11/2016,PAYMENT TO CHEVRON CC-PAYMENT,,Gasoline/Fuel,$,-136.20,,,Personal,HSBC Bank - HSBC PREMIER,Chevron
posted,07/07/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,463.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/06/2016,PAYMENT TO CALWATER-WATERBILL,,Utilities,$,-36.85,,,Personal,HSBC Bank - HSBC PREMIER,California Water Service
posted,07/05/2016,PAYMENT TO WATSON REALTY SE-WEB PMTS,,Credit Card Payments,$,"-1,950.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,07/05/2016,PAYMENT TO PAYPAL-INST XFER,,Transfers,$,-74.20,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,07/05/2016,PAYMENT TO IN-SHAPE 179 BAK-CLUB FEES,,Healthcare/Medical,$,-10.00,,,Personal,HSBC Bank - HSBC PREMIER,Inshape
posted,07/05/2016,PURCHASE - HERTZ UK LIMITED         MIDDLESEX    GB,,Travel,$,-370.37,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,The Hertz Corporation
posted,07/03/2016,PURCHASE - TU SMARTMOVE             xxx-xxx-0961 CO,,General Merchandise,$,-23.80,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,07/01/2016,REBATE OF ATM SURCHARGE FOR 06/02/16 WITHDRAWAL,,Deposits,$,3.00,,,Personal,HSBC Bank - HSBC PREMIER,Deposit
posted,07/01/2016,REBATE OF ATM SURCHARGE FOR 06/13/16 WITHDRAWAL,,Deposits,$,2.95,,,Personal,HSBC Bank - HSBC PREMIER,Deposit
posted,06/29/2016,PURCHASE - APL* ITUNES.COM/BILL     xxx-xxx-7753 CA,,Entertainment,$,-3.99,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Apple Inc
posted,06/28/2016,AUTOMATIC TRANSFER TO CREDIT ACCOUNT #xxxxxx3437,,Transfers,$,-422.90,,,Personal,HSBC Bank - HSBC PREMIER,Transfer
posted,06/27/2016,PAYMENT TO PGANDE-WEB ONLINE,,Utilities,$,-137.08,,,Personal,HSBC Bank - HSBC PREMIER,Pacific Gas and Electric Company
posted,06/27/2016,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,,Credit Card Payments,$,422.90,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,06/22/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,463.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,06/20/2016,PAYMENT TO SO CAL GAS-PAID SCGC,,Utilities,$,-19.58,,,Personal,HSBC Bank - HSBC PREMIER,Southern California Gas Company
posted,06/20/2016,CASH CONCENTRATION AMZNIPMS4K32-MARKETPLAC,,Uncategorized,$,11.11,,,Personal,HSBC Bank - HSBC PREMIER,
posted,06/20/2016,PURCHASE ON  06/18 AT ARCO #x2402 AMPM - LOS ANGELES  CA,,Gasoline/Fuel,$,-11.12,,,Personal,HSBC Bank - HSBC PREMIER,Arco
posted,06/14/2016,PAYMENT TO CITI AUTOPAY-PAYMENT,,Credit Card Payments,$,-999.49,,,Personal,HSBC Bank - HSBC PREMIER,Citibank
posted,06/14/2016,DEPOSIT FROM CARTUS-EDI PAYMTS,,Other Income,$,"1,500.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,06/14/2016,CASH WITHDRAWAL ON  06/13 AT CARDTRONICS CCWF - BAKERSFIELD  CA,,ATM/Cash Withdrawals,$,-62.95,,,Personal,HSBC Bank - HSBC PREMIER,CARDTRONICS
posted,06/10/2016,INTEREST EARNED AND PAID FROM 05/12/16 - THROUGH 06/10/16 INCLUSIVE,,Interest,$,0.06,,,Personal,HSBC Bank - HSBC PREMIER,Interest
posted,06/10/2016,PAYMENT TO CHEVRON CC-PAYMENT,,Gasoline/Fuel,$,-138.42,,,Personal,HSBC Bank - HSBC PREMIER,Chevron
posted,06/10/2016,DEPOSIT FROM PAYPAL-TRANSFER,,Transfers,$,369.29,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,06/10/2016,DEPOSIT FROM PAYPAL-TRANSFER,,Transfers,$,345.29,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,06/08/2016,"33RECD CHIP CITIBANK NA*ORG:WORLD FIRST UK LTD,SW11 3RB, - UK*OGB:CITIBANK NA,NEW YORK*BNF:ALEXANDER JACOB JOHNSTO",,Transfers,$,"10,000.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,06/07/2016,PAYMENT TO CALWATER-WATERBILL,,Utilities,$,-27.75,,,Personal,HSBC Bank - HSBC PREMIER,California Water Service
posted,06/07/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,463.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,06/06/2016,PURCHASE - RENTALCARS.COM           MANCHESTER   GB,,General Merchandise,$,-271.12,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,06/05/2016,PURCHASE - SPROUTS FARMERS MARK     BAKERSFIELD  CA,,Groceries,$,-41.76,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Sprout's Farmers Market
posted,06/03/2016,PURCHASE ON  06/03 AT 3800 ROSEDALE HIGHWAY - BAKERSFIELD  CA,,General Merchandise,$,-84.29,,,Personal,HSBC Bank - HSBC PREMIER,
posted,06/03/2016,CASH WITHDRAWAL ON  06/02 AT MING/HAGGIN - BAKERSFIELD  CA,,ATM/Cash Withdrawals,$,-83.00,,,Personal,HSBC Bank - HSBC PREMIER,Cash Withdrawal
posted,06/02/2016,PAYMENT TO WATSON REALTY SE-WEB PMTS,,Credit Card Payments,$,"-1,950.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,06/02/2016,PAYMENT TO IN-SHAPE 179 BAK-CLUB FEES,,Healthcare/Medical,$,-56.99,,,Personal,HSBC Bank - HSBC PREMIER,Inshape
posted,06/02/2016,DEPOSIT FROM CVX T&E REIMB-EDI PAYMNT,,Other Income,$,220.28,,,Personal,HSBC Bank - HSBC PREMIER,Reimbursement
posted,06/01/2016,REBATE OF ATM SURCHARGE FOR 05/13/16 WITHDRAWAL,,Deposits,$,3.00,,,Personal,HSBC Bank - HSBC PREMIER,Deposit
posted,06/01/2016,REBATE OF ATM SURCHARGE FOR 05/27/16 WITHDRAWAL,,Deposits,$,2.00,,,Personal,HSBC Bank - HSBC PREMIER,Deposit
posted,06/01/2016,DEPOSIT FROM PAYPAL-TRANSFER,,Transfers,$,26.70,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,06/01/2016,DEPOSIT FROM CARTUS-EDI PAYMTS,,Other Income,$,350.05,,,Personal,HSBC Bank - HSBC PREMIER,
posted,05/31/2016,AUTOMATIC TRANSFER TO CREDIT ACCOUNT #xxxxxx3437,,Transfers,$,"-6,062.68",,,Personal,HSBC Bank - HSBC PREMIER,Transfer
posted,05/27/2016,"INTEREST PAID FROM 05/01/16 THROUGH 05/30/16 INCLUSIVE - AVERAGE DAILY LEDGER BALANCE             $2,533.37",,Interest,$,0.02,,,Personal,HSBC Bank - HSBC PREMIER SAVINGS,Interest
posted,05/27/2016,CASH WITHDRAWAL ON  05/27 AT 589 MAIN ST - CAMBRIA      CA,,ATM/Cash Withdrawals,$,-62.00,,,Personal,HSBC Bank - HSBC PREMIER,Cash Withdrawal
posted,05/27/2016,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,,Credit Card Payments,$,"6,062.68",,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/26/2016,PURCHASE - PANERA BREAD #1364       BAKERSFIELD  CA,,Restaurants/Dining,$,-3.39,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Panera Bread
posted,05/25/2016,PAYMENT TO PGANDE-WEB ONLINE,,Utilities,$,-114.37,,,Personal,HSBC Bank - HSBC PREMIER,Pacific Gas and Electric Company
posted,05/23/2016,DEPOSIT,,Deposits,$,131.40,,,Personal,HSBC Bank - HSBC PREMIER,
posted,05/23/2016,DEPOSIT FROM HSBC CREDIT CARD-CASH BACK,,Deposits,$,50.00,,,Personal,HSBC Bank - HSBC PREMIER,HSBC
posted,05/23/2016,PURCHASE - SPOTIFY USA              NEW YORK     NY,,Entertainment,$,-9.99,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Spotify Ltd
posted,05/20/2016,ONLINE TRANSFER TO   CHECKING xxxxxxx1056 ON 05/20 - REFERENCE NO: IBxx0603,,Transfers,$,"-4,000.06",,,Personal,HSBC Bank - HSBC PREMIER SAVINGS,Transfer
posted,05/20/2016,PAYMENT TO PAYPAL-INST XFER,,Transfers,$,-4.09,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,05/20/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,463.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,05/20/2016,ONLINE TRANSFER FROM SAVINGS  xxxxxxx7199 ON 05/20 - REFERENCE NO: IBxx0603,,Transfers,$,"4,000.06",,,Personal,HSBC Bank - HSBC PREMIER,Transfer
posted,05/20/2016,RETURN - CLUEBOARD                xxx-xxx-8559 CA,,Deposits,$,108.55,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/19/2016,PAYMENT TO SO CAL GAS-PAID SCGC,,Utilities,$,-29.04,,,Personal,HSBC Bank - HSBC PREMIER,Southern California Gas Company
posted,05/18/2016,RETURN - WASDKEYBOAR              xxxxxx6991   CA,,Deposits,$,120.45,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/17/2016,DEPOSIT FROM PAYPAL-TRANSFER,,Transfers,$,7.98,,,Personal,HSBC Bank - HSBC PREMIER,PayPal
posted,05/13/2016,CASH WITHDRAWAL ON  05/13 AT CARDTRONICS CCS1 - BAKERSFIELD  CA,,ATM/Cash Withdrawals,$,-23.00,,,Personal,HSBC Bank - HSBC PREMIER,CARDTRONICS
posted,05/13/2016,PURCHASE - TARGET        xxxx7151   BAKERSFIELD  CA,,Uncategorized,$,-16.76,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/11/2016,INTEREST EARNED AND PAID FROM 04/13/16 - THROUGH 05/11/16 INCLUSIVE,,Interest,$,0.03,,,Personal,HSBC Bank - HSBC PREMIER,Interest
posted,05/11/2016,PURCHASE - SPROUTS FARMERS MARK     BAKERSFIELD  CA,,Groceries,$,-47.79,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Sprout's Farmers Market
posted,05/10/2016,PAYMENT TO CHEVRON CC-PAYMENT,,Gasoline/Fuel,$,-114.98,,,Personal,HSBC Bank - HSBC PREMIER,Chevron
posted,05/10/2016,PURCHASE - TRAVELERS PERS INS       xxxxxxx8715  CT,,Insurance,$,-55.25,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,The Travelers Companies
posted,05/09/2016,PURCHASE ON  05/06 AT 4900 PANAMA LANE - BAKERSFIELD  CA,,General Merchandise,$,-161.51,,,Personal,HSBC Bank - HSBC PREMIER,
posted,05/09/2016,PURCHASE ON  05/06 AT COSTCO GAS #x64 - BAKERSFIELD  CA,,Gasoline/Fuel,$,-26.67,,,Personal,HSBC Bank - HSBC PREMIER,Costco Gas
posted,05/09/2016,PURCHASE - COLDSTONE #319           BAKERSFIELD  CA,,Restaurants/Dining,$,-1.99,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,COLD STONE
posted,05/08/2016,PURCHASE - FOOT REFLEXOLOGY         BAKERSFIELD  CA,,Clothing/Shoes,$,-30.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/08/2016,PURCHASE - EDWARDS BAKERSFIELD ST   BAKERSFIELD  CA,,General Merchandise,$,-9.75,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/06/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,449.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,05/06/2016,PURCHASE - TRADER JOE'S #014  QPS   BAKERSFIELD  CA,,Groceries,$,-34.45,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Trader Joe's
posted,05/06/2016,PURCHASE - MY GYM BAKERSFIELD       BAKERSFIELD  CA,,Hobbies,$,-68.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/05/2016,PAYMENT TO CALWATER-WATERBILL,,Utilities,$,-17.74,,,Personal,HSBC Bank - HSBC PREMIER,California Water Service
posted,05/05/2016,CHECK - 141,,Checks,$,-17.00,,,Personal,HSBC Bank - HSBC PREMIER,
posted,05/05/2016,PURCHASE - BANANA REPUBLIC ON-LIN   888-BRSTYLE  OH,,Clothing/Shoes,$,-43.53,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Banana Republic
posted,05/04/2016,PURCHASE - AMAZON.COM AMZN.COM/BI   AMZN.COM/BILLWA,,General Merchandise,$,-13.96,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Amazon.com
posted,05/03/2016,PAYMENT TO WATSON REALTY SE-WEB PMTS,,Transfers,$,"-1,950.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,05/03/2016,PAYMENT TO IN-SHAPE 179 BAK-CLUB FEES,,Healthcare/Medical,$,-56.99,,,Personal,HSBC Bank - HSBC PREMIER,Inshape
posted,05/03/2016,PURCHASE - COSTCO.COM  *ONLINE      xxx-xxx-2292 WA,,Entertainment,$,-55.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/03/2016,PURCHASE - GEICO  *AUTO             xxx-xxx-3000 DC,,Insurance,$,-125.21,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,GEICO
posted,05/03/2016,PURCHASE - SXM*SIRIUSXM.COM/ACCT    xxx-xxx-5144 NY,,Entertainment,$,-12.52,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,"Sirius XM Radio, Inc"
posted,05/03/2016,PURCHASE - SOUTH BEACH PIZZA        SANTA CRUZ   CA,,Restaurants/Dining,$,-6.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Beach Pizza
posted,05/03/2016,PURCHASE - IDEAL BAR & GRILL        SANTA CRUZ   CA,,Groceries,$,-6.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Ideal Bar & Grill
posted,05/03/2016,PURCHASE - WAL-MART #2557           BAKERSFIELD  CA,,Groceries,$,-112.31,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/02/2016,REBATE OF ATM SURCHARGE FOR 04/20/16 WITHDRAWAL,,Deposits,$,1.50,,,Personal,HSBC Bank - HSBC PREMIER,Deposit
posted,05/02/2016,PURCHASE - OAKLAND ZOO              OAKLAND      CA,,Entertainment,$,-49.25,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/02/2016,PURCHASE - HILLTOP MINI MART        ROYAL OAKS   CA,,Groceries,$,-30.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/02/2016,PURCHASE - SANTA CRUZ PAY BY PHON   xxxxxxx5184  CA,,Service Charges/Fees,$,-7.35,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/02/2016,PURCHASE - DENICAS REAL FOOD KITC   CASTRO VALLEYCA,,Groceries,$,-50.30,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/02/2016,PURCHASE - SQ *THE PICNIC BASK      SANTA CRUZ   CA,,Restaurants/Dining,$,-31.50,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,05/02/2016,PURCHASE - ROTTEN ROBBIE #59        SANTA NELLA  CA,,Gasoline/Fuel,$,-26.66,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Rotten Robbie
posted,05/02/2016,PURCHASE - DENNY'S #8791            GUSTINE      CA,,Restaurants/Dining,$,-28.48,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Denny's Restaurant
posted,04/30/2016,PURCHASE - BRIGHT HOUSE NETWORKS    xxx-xxx-9700 FL,,Cable/Satellite Services,$,-93.30,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Bright House Networks
posted,04/30/2016,PURCHASE - NETFLIX.COM              NETFLIX.COM  CA,,Entertainment,$,-7.99,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Netflix
posted,04/29/2016,"INTEREST PAID FROM 03/31/16 THROUGH 04/30/16 INCLUSIVE - AVERAGE DAILY LEDGER BALANCE             $6,967.74",,Interest,$,0.06,,,Personal,HSBC Bank - HSBC PREMIER SAVINGS,Interest
posted,04/29/2016,ONLINE TRANSFER TO   CHECKING xxxxxxx1056 ON 04/29 - REFERENCE NO: IBxx1845,,Transfers,$,"-3,000.00",,,Personal,HSBC Bank - HSBC PREMIER SAVINGS,Transfer
posted,04/29/2016,PAYMENT TO VISIONWORKS LTD-IAT PAYPAL,,Personal Care,$,-51.09,,,Personal,HSBC Bank - HSBC PREMIER,VisionWorks
posted,04/29/2016,ONLINE TRANSFER FROM SAVINGS  xxxxxxx7199 ON 04/29 - REFERENCE NO: IBxx1845,,Transfers,$,"3,000.00",,,Personal,HSBC Bank - HSBC PREMIER,Transfer
posted,04/29/2016,PURCHASE - ADY*SPOTIFY Pxxxx2934    xxx-xxx5380  NY,,Entertainment,$,-9.99,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Spotify Ltd
posted,04/29/2016,PURCHASE - NORWEGIA xxxxxxxxxx0000  FORNEBU      NO,,General Merchandise,$,"-2,211.27",,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,04/28/2016,AUTOMATIC TRANSFER TO CREDIT ACCOUNT #xxxxxx3437,,Transfers,$,"-3,394.05",,,Personal,HSBC Bank - HSBC PREMIER,Transfer
posted,04/28/2016,DEPOSIT FROM CARTUS-EDI PAYMTS,,Other Income,$,271.00,,,Personal,HSBC Bank - HSBC PREMIER,
posted,04/27/2016,PURCHASE - FOOT REFLEXOLOGY         BAKERSFIELD  CA,,Clothing/Shoes,$,-30.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,04/27/2016,PURCHASE - DEWAR'S CANDY SHOP       BAKERSFIELD  CA,,Gifts,$,-5.27,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,04/27/2016,PURCHASE - USPSxxxxxxxxxxxxxx1628   BAKERSFIELD  CA,,Postage and Shipping,$,-1.41,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,USPS
posted,04/27/2016,PURCHASE - TARGET        xxxx7151   BAKERSFIELD  CA,,General Merchandise,$,-37.88,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Target
posted,04/27/2016,PAYMENT - xxxxx1056                AUTOPAYLANG*]01,,Credit Card Payments,$,"3,394.05",,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,04/26/2016,PURCHASE - RITE AID STORE - 6294    BAKERSFIELD  CA,,Healthcare/Medical,$,-23.13,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Rite Aid
posted,04/26/2016,PURCHASE - SPROUTS FARMERS MARK     BAKERSFIELD  CA,,Groceries,$,-42.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Sprout's Farmers Market
posted,04/25/2016,PAYMENT TO PGANDE-WEB ONLINE,,Utilities,$,-85.74,,,Personal,HSBC Bank - HSBC PREMIER,Pacific Gas and Electric Company
posted,04/25/2016,PURCHASE - TARGET        xxxx7151   BAKERSFIELD  CA,,General Merchandise,$,-62.80,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Target
posted,04/24/2016,PURCHASE - MARKET@WORK xxxxxxxxxx   xxxxxx9149   WA,,Groceries,$,-1.89,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,04/24/2016,PURCHASE - KRISPY KREME #1222       BAKERSFIELD  CA,,Restaurants/Dining,$,-3.27,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Krispy Kreme Doughnut Corporation
posted,04/22/2016,DEPOSIT,,Deposits,$,4.00,,,Personal,HSBC Bank - HSBC PREMIER,
posted,04/22/2016,DEPOSIT FROM CHEVRON CORPORAT-REG SALARY,,Paychecks/Salary,$,"1,449.00",,,Personal,HSBC Bank - HSBC PREMIER,
posted,04/22/2016,PURCHASE - RUBEN'S MEXICAN RESTRN   BAKERSFIELD  CA,,Restaurants/Dining,$,-15.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,04/22/2016,PURCHASE - CONDOR                   FRANKFURT    US,,General Merchandise,$,"-1,259.97",,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,04/20/2016,PAYMENT TO SO CAL GAS-PAID SCGC,,Utilities,$,-39.86,,,Personal,HSBC Bank - HSBC PREMIER,Southern California Gas Company
posted,04/20/2016,CASH WITHDRAWAL ON  04/20 AT x2581 ROSEDALE HWY - BAKERSFIELD  CA,,ATM/Cash Withdrawals,$,-101.50,,,Personal,HSBC Bank - HSBC PREMIER,Cash Withdrawal
posted,04/19/2016,PURCHASE - CSP                      xxx-xxx9926  CA,,General Merchandise,$,-27.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,04/19/2016,PURCHASE - 8705 GREAT CLIPS AT SH   BAKERSFIELD  CA,,Personal Care,$,-17.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Great Clips
posted,04/19/2016,PURCHASE - AARON BROTHERS265        BAKERSFIELD  CA,,Gifts,$,-42.13,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,Aaron Brothers
posted,04/18/2016,"PURCHASE - UNITED DOMAINS, INC      CAMBRIDGE    MA",,General Merchandise,$,-19.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
posted,04/18/2016,PURCHASE - FOOT REFLEXOLOGY         BAKERSFIELD  CA,,Clothing/Shoes,$,-65.00,,,Personal,HSBC Bank - Credit Card - HSBC PREMIER CREDIT CARD,
